mode,seed,best_alpha,valid_mrr,test_mrr
v1,42,0.5,0.564470027430987,
v1,123,0.6,0.5661076759351955,
v1,1234,0.5,0.5663340154760558,
v2,42,0.6,0.5675112393740047,0.568359902647732
v2,123,0.6,0.5693201221034253,0.566036852053413
v2,1234,0.6,0.5694799690441524,0.5692703037804987
v3,42,0.7,0.5669804509417475,
v3,123,0.2,0.5685799254836739,
v3,1234,0.5,0.5687684945797393,
v4,42,0.8,0.5676719769254422,
v4,123,0.5,0.5696452067100045,
v4,1234,0.6,0.5688406180580617,
l2,42,0.7,0.5678233146870477,
l2,123,0.4,0.5689315944008717,
l2,1234,0.4,0.5681199640029664,
