seed,alpha,valid_mrr,valid_h1,valid_h10,test_mrr,test_h1,test_h10,eval_time_ms,peak_gpu_mem_mb
42,0.0,0.498726,0.428177,0.60221,0.531642,0.470724,0.63467,285229.11,2585.41
42,0.1,0.555244,0.474217,0.691529,0.53589,0.474273,0.650994,485431.31,2585.41
42,0.2,0.554696,0.472376,0.689687,0.536471,0.474805,0.651171,461564.2,2585.41
42,0.3,0.556247,0.474217,0.689687,0.537397,0.475869,0.651171,654324.58,2585.41
42,0.4,0.556326,0.476059,0.687845,0.537419,0.475515,0.650994,778676.57,2585.41
42,0.5,0.556966,0.475138,0.699816,0.537913,0.475869,0.652236,690483.53,2585.41
42,0.6,0.558848,0.478821,0.699816,0.538717,0.477111,0.65259,413375.39,2585.41
42,0.7,0.558002,0.47698,0.699816,0.539767,0.477999,0.653478,412291.11,2585.41
42,0.8,0.559733,0.479742,0.698895,0.540503,0.478531,0.65472,411097.35,2585.41
42,0.9,0.559119,0.477901,0.698895,0.541746,0.479063,0.655252,409017.95,2585.41
123,0.0,0.502024,0.429098,0.627993,0.535946,0.472143,0.639106,261670.67,2585.41
123,0.1,0.561768,0.475138,0.713628,0.542355,0.478176,0.654542,412145.37,2585.41
123,0.2,0.564236,0.47698,0.712707,0.543106,0.478176,0.656494,412421.96,2585.41
123,0.3,0.56583,0.47698,0.71547,0.543748,0.478531,0.657204,412232.4,2585.41
123,0.4,0.566772,0.477901,0.712707,0.544444,0.479241,0.657559,410727.04,2585.41
123,0.5,0.56714,0.480663,0.711786,0.545451,0.480837,0.658446,412807.59,2585.41
123,0.6,0.569108,0.483425,0.712707,0.54622,0.480837,0.658623,410338.04,2585.41
123,0.7,0.567865,0.483425,0.714549,0.546748,0.481725,0.662881,411396.14,2585.41
123,0.8,0.565133,0.481584,0.714549,0.547282,0.48066,0.664301,411997.69,2585.41
123,0.9,0.563907,0.480663,0.711786,0.546143,0.476224,0.664656,410707.7,2585.41
1234,0.0,0.500206,0.434622,0.600368,0.538734,0.476934,0.635912,261658.51,2585.41
1234,0.1,0.557269,0.479742,0.699816,0.543895,0.482257,0.649574,413878.62,2585.41
1234,0.2,0.562476,0.482505,0.700737,0.544402,0.482789,0.652058,413401.72,2585.41
1234,0.3,0.563593,0.484346,0.700737,0.544786,0.483144,0.652945,413131.51,2585.41
1234,0.4,0.564939,0.486188,0.701657,0.545262,0.483144,0.65259,412498.5,2585.41
1234,0.5,0.563821,0.483425,0.701657,0.545796,0.483676,0.652768,411125.23,2585.41
1234,0.6,0.566203,0.488029,0.702578,0.546085,0.483854,0.652413,411940.55,2585.41
1234,0.7,0.568584,0.493554,0.703499,0.546711,0.484209,0.652945,414778.36,2585.41
1234,0.8,0.569446,0.495396,0.702578,0.547791,0.48616,0.652768,412632.59,2585.41
1234,0.9,0.5764,0.51105,0.700737,0.547618,0.484918,0.653655,410771.65,2585.41
