config,method,mrr_mean,mrr_std,n_seeds,delta_vs_clean,retention_pct
clean,hybrid,0.5683953333333333,0.0015450017259969048,3,0.0,100.0
clean,ppr,0.563815,0.001723996519718037,3,0.0,100.0
clean,rerank,0.5684939999999999,0.0020552622703684277,3,0.0,100.0
del05,hybrid,0.5148123333333333,0.002915496069853877,3,-0.053582999999999936,90.57293456549608
del05,ppr,0.5113,0.002569885016883058,3,-0.05251499999999998,90.68577458918261
del05,rerank,0.5147146666666667,0.0028662034703302703,3,-0.05377933333333329,90.54003501649387
del10,hybrid,0.47610966666666665,0.002775276983173635,3,-0.0922856666666666,83.7638240051232
del10,ppr,0.47328866666666664,0.0031384235426935715,3,-0.09052633333333332,83.9439650712852
del10,rerank,0.47689133333333333,0.003401043418325229,3,-0.09160266666666661,83.886783912114
del20,hybrid,0.42028533333333334,0.0007340697060452285,3,-0.1481099999999999,73.94243208658763
del20,ppr,0.4158953333333333,0.0011565817452014876,3,-0.14791966666666667,73.76450313193749
del20,rerank,0.42017666666666664,0.0017209675573157488,3,-0.1483173333333333,73.91048395702799
reldel,hybrid,0.5660376666666667,0.0011556060459054786,3,-0.0023576666666665913,99.58520654051817
reldel,ppr,0.5615676666666666,0.0014344916637378403,3,-0.002247333333333379,99.60140589850688
reldel,rerank,0.5663033333333333,0.00212416320779107,3,-0.002190666666666674,99.6146543909581
